Fecha,Latitud,Longitud,Pofundidad (km),Magnitud,Escala de Magnitud,Gap,Dmin,RMS,Lugar,Tipo,Error Horizontal,Error de Profundidad,Error de Magnitud,Número de Estaciones
2005-06-16T01:42:23.700Z,11.003,-62.13,80,2.8,md,246.2,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-06-17T18:39:38.900Z,10.599,-61.852,12,3,md,241.5,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-06-23T11:17:38.340Z,11,-62.192,94.3,3.4,md,251,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-06-25T00:43:00.710Z,10.382,-62.183,3,3.8,md,165.5,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-06-26T08:39:03.350Z,10.52,-62.359,5,3.2,md,280.1,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-06-28T14:25:59.950Z,8.078,-69.883,9,4.5,mb,73.8,,0.83,"Barinas, Venezuela",Sismo,,10,,10
2005-07-03T21:52:08.260Z,10.292,-62.275,5,3.1,md,289.7,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-07-05T08:08:00.150Z,8.707,-61.851,49.5,4.1,md,159.9,,0.97,"Delta Amacuro, Venezuela",Sismo,,8.8,,
2005-07-06T20:10:08.590Z,10.923,-62.136,5,3.1,md,326.3,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-07-08T13:47:40.000Z,10.708,-62.121,34,2.6,md,256.8,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-07-09T13:47:13.820Z,10.334,-62.423,5,3.6,md,291.4,,,"Golfo de Paria, Venezuela",Sismo,,,,
2005-07-10T12:06:59.340Z,10.909,-62.204,68,3.4,md,254.7,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-07-14T14:16:40.080Z,11.092,-62.15,19.7,2.9,md,264.8,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-07-15T21:02:15.720Z,8.565,-71.337,10,4.8,mwc,65.8,,0.7,"Merida, Venezuela",Sismo,,,,
2005-07-17T11:10:51.920Z,10.531,-61.785,30.2,3,md,293.7,,,"Golfo de Paria, Trinidad y Tobago",Sismo,,,,
2005-07-18T01:45:51.600Z,10.321,-61.478,46.5,3.1,md,274.3,,,"Golfo de Paria, Trinidad y Tobago",Sismo,,,,
2005-07-19T06:41:28.460Z,11.283,-61.936,93.4,3.4,md,223.6,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-07-21T18:50:29.010Z,10.776,-62.407,17.7,3.7,md,319.8,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2005-07-25T04:23:57.580Z,9.967,-63.014,50.1,4.3,mb,41.2,,0.93,"Monagas, Venezuela",Sismo,,6,,9
2005-07-25T04:27:30.800Z,9.87,-62.75,20.2,3.5,md,314.3,,,"Monagas, Venezuela",Sismo,,,,
